StructureName,ElementRange,SizeRange,InsertAverage,SearchAverage,DeleteAverage
ArrayList,1,1000,3932,4831,4061
ArrayList,2,1000,2556,4578,3591
ArrayList,3,1000,2498,5303,3007
ArrayList,4,1000,2505,6215,2985
ArrayList,5,1000,2430,6667,3066
ArrayList,6,1000,55224,7890,3060
ArrayList,7,1000,2092,8880,3082
ArrayList,8,1000,1349,49582,2897
ArrayList,9,1000,1237,10321,48720
ArrayList,10,1000,4023,28092,3081
ArrayList,11,1000,1258,10725,3005
ArrayList,12,1000,1253,35023,3026
ArrayList,13,1000,1246,1541,2644
ArrayList,14,1000,1251,1525,2732
ArrayList,15,1000,3301,1536,2672
ArrayList,16,1000,1265,1559,2689
ArrayList,17,1000,1245,1548,2670
ArrayList,18,1000,1260,1574,2630
ArrayList,19,1000,1265,1550,3446
ArrayList,20,1000,1258,1585,2602
ArrayList,21,1000,1243,1552,2600
ArrayList,22,1000,3266,1596,2618
ArrayList,23,1000,1264,1667,42750
ArrayList,24,1000,1255,1605,2614
ArrayList,25,1000,41255,1595,2617
ArrayList,26,1000,1245,1595,2599
ArrayList,27,1000,1240,1535,2518
ArrayList,28,1000,1246,1529,2534
ArrayList,29,1000,1238,1552,2509
ArrayList,30,1000,1241,1517,2470
ArrayList,31,1000,1265,1518,2477
ArrayList,32,1000,1263,1529,2489
ArrayList,33,1000,1654,1570,2524
ArrayList,34,1000,1235,1546,2530
ArrayList,35,1000,1238,1578,2519
ArrayList,36,1000,1251,1567,2581
ArrayList,37,1000,1251,1591,2622
ArrayList,38,1000,1240,1590,2533
ArrayList,39,1000,1252,1589,2572
ArrayList,40,1000,1250,1619,2514
ArrayList,41,1000,1242,1633,2708
ArrayList,42,1000,1235,1585,2530
ArrayList,43,1000,81410,1618,2593
ArrayList,44,1000,1247,1600,2551
ArrayList,45,1000,1463,1641,2605
ArrayList,46,1000,1246,1596,2562
ArrayList,47,1000,1256,1628,2630
ArrayList,48,1000,1248,1608,2531
ArrayList,49,1000,1442,1625,2591
ArrayList,50,1000,1251,1648,2626
ArrayList,51,1000,1241,1628,2596
ArrayList,52,1000,1247,1636,2784
ArrayList,53,1000,1262,1628,2567
ArrayList,54,1000,1269,1632,2607
ArrayList,55,1000,1246,1631,2576
ArrayList,56,1000,1268,1663,2637
ArrayList,57,1000,1254,1624,70116
ArrayList,58,1000,1247,43056,2598
ArrayList,59,1000,1251,1665,2645
ArrayList,60,1000,1237,1651,2643
ArrayList,61,1000,1253,1644,2562
ArrayList,62,1000,1255,1667,2688
ArrayList,63,1000,1249,1647,2637
ArrayList,64,1000,1242,1691,2614
ArrayList,65,1000,1258,1671,2733
ArrayList,66,1000,1256,1698,2648
ArrayList,67,1000,1255,1672,2542
ArrayList,68,1000,1256,1675,2611
ArrayList,69,1000,1259,1664,2610
ArrayList,70,1000,1246,1655,2629
ArrayList,71,1000,1379,1662,2594
ArrayList,72,1000,1258,1705,2588
ArrayList,73,1000,1438,1681,2562
ArrayList,74,1000,1326,1712,2746
ArrayList,75,1000,1243,1814,2642
ArrayList,76,1000,1239,1833,2708
ArrayList,77,1000,1252,1755,2643
ArrayList,78,1000,1247,1707,2575
ArrayList,79,1000,1240,1683,2611
ArrayList,80,1000,1257,1698,2543
ArrayList,81,1000,1249,1706,2574
ArrayList,82,1000,1273,1731,2583
ArrayList,83,1000,1297,1686,2605
ArrayList,84,1000,1257,1700,2609
ArrayList,85,1000,1254,79820,2598
ArrayList,86,1000,1244,1741,2575
ArrayList,87,1000,1256,1893,2605
ArrayList,88,1000,1258,1716,2645
ArrayList,89,1000,1250,61874,2757
ArrayList,90,1000,1260,1726,2631
ArrayList,91,1000,1244,1979,2626
ArrayList,92,1000,1248,1735,2592
ArrayList,93,1000,1290,1789,2695
ArrayList,94,1000,1383,1796,2635
ArrayList,95,1000,1236,1759,2596
ArrayList,96,1000,1260,1775,2636
ArrayList,97,1000,1244,1733,2581
ArrayList,98,1000,1244,1773,2707
ArrayList,99,1000,1258,1764,2609
ArrayList,100,1000,1263,1760,2644
ArrayList,101,1000,1252,1770,2594
ArrayList,102,1000,1246,1812,2653
ArrayList,103,1000,1249,1787,2602
ArrayList,104,1000,1254,1770,2586
ArrayList,105,1000,1255,1814,2647
ArrayList,106,1000,1248,1813,82958
ArrayList,107,1000,1252,1818,2697
ArrayList,108,1000,1252,63131,2631
ArrayList,109,1000,1881,1809,3128
ArrayList,110,1000,1262,1839,2704
ArrayList,111,1000,1244,42129,2709
ArrayList,112,1000,1244,1889,2853
ArrayList,113,1000,1256,1856,2697
ArrayList,114,1000,1245,1834,2673
ArrayList,115,1000,1253,1828,2794
ArrayList,116,1000,1253,1814,2600
ArrayList,117,1000,1248,1829,2698
ArrayList,118,1000,1253,1835,2907
ArrayList,119,1000,1242,1845,2667
ArrayList,120,1000,1253,1829,2681
ArrayList,121,1000,61506,1857,2717
ArrayList,122,1000,1257,1840,2706
ArrayList,123,1000,1260,1806,151015
ArrayList,124,1000,1257,1956,3028
ArrayList,125,1000,1246,2238,2653
ArrayList,126,1000,1249,1810,2633
ArrayList,127,1000,1253,1813,2637
ArrayList,128,1000,1263,1892,2707
ArrayList,129,1000,1244,1980,2841
