StructureName,ElementRange,SizeRange,InsertAverage,SearchAverage,DeleteAverage
Array,1,1000,3168623,97326,25121
Array,2,1000,2305332,24909,5217
Array,3,1000,2370063,56793,5072
Array,4,1000,2543830,27621,11819
Array,5,1000,2360204,62232,4867
Array,6,1000,2180413,64931,4809
Array,7,1000,2535514,69602,4939
Array,8,1000,2099679,39255,4873
Array,9,1000,2337737,75815,5469
Array,10,1000,2361274,76942,4913
Array,11,1000,2236736,132776,5216
Array,12,1000,2303936,83722,5360
Array,13,1000,2251914,85616,5089
Array,14,1000,2264198,86662,62496
Array,15,1000,2215226,95927,5242
Array,16,1000,2193237,61043,8906
Array,17,1000,2352582,96668,5344
Array,18,1000,2308024,103356,5216
Array,19,1000,2404368,101380,5481
Array,20,1000,2377404,104669,5264
Array,21,1000,2420892,151347,20811
Array,22,1000,2326033,110064,5088
Array,23,1000,2234201,114927,5098
Array,24,1000,2203866,114440,5093
Array,25,1000,2257828,117210,4950
Array,26,1000,2342289,120288,5125
Array,27,1000,2313243,122241,5096
Array,28,1000,2271841,126882,5147
Array,29,1000,2283217,129991,5103
Array,30,1000,2303870,133744,5103
Array,31,1000,2316155,138062,5053
Array,32,1000,2175565,118997,5135
Array,33,1000,2375111,140440,6514
Array,34,1000,2270918,143998,22533
Array,35,1000,2302261,148059,5207
Array,36,1000,2299726,198594,5348
Array,37,1000,2321731,153817,5559
Array,38,1000,2300167,157086,5102
Array,39,1000,2554577,256137,5139
Array,40,1000,2296661,169399,5168
Array,41,1000,2326609,164029,5273
Array,42,1000,2411048,166902,5305
Array,43,1000,2340354,168921,5308
Array,44,1000,2355007,195967,5249
Array,45,1000,2341783,177819,5192
Array,46,1000,2319278,180658,5121
Array,47,1000,2425350,181767,5433
Array,48,1000,2401080,184906,5310
Array,49,1000,2367559,222251,5286
Array,50,1000,2466311,187526,5234
Array,51,1000,2305630,215001,5115
Array,52,1000,2343738,195736,5055
Array,53,1000,2313529,197990,5058
Array,54,1000,2397640,204895,5271
