StructureName,ElementRange,SizeRange,InsertAverage,SearchAverage,DeleteAverage
HashMap,1,1000,5252,3550,3709
HashMap,2,1000,11110,4255,3582
HashMap,3,1000,81071,3574,3733
HashMap,4,1000,20792,3327,63664
HashMap,5,1000,63008,3568,3453
HashMap,6,1000,26009,3303,3281
HashMap,7,1000,30527,3193,43485
HashMap,8,1000,170625,3141,3120
HashMap,9,1000,29467,2995,2988
HashMap,10,1000,111976,20914,3213
HashMap,11,1000,223849,2534,2430
HashMap,12,1000,8670,2456,2411
HashMap,13,1000,8773,2396,2380
HashMap,14,1000,66185,2332,2307
HashMap,15,1000,4696,2323,2860
HashMap,16,1000,4841,2397,2319
HashMap,17,1000,4913,2347,2340
HashMap,18,1000,6286,2362,2371
HashMap,19,1000,5684,2369,2348
HashMap,20,1000,5504,2734,54348
HashMap,21,1000,5374,2389,2336
HashMap,22,1000,5508,2363,2271
HashMap,23,1000,11808,2584,2323
HashMap,24,1000,5972,2370,2821
HashMap,25,1000,13517,2426,2354
HashMap,26,1000,5423,2330,2362
HashMap,27,1000,5555,2340,2343
HashMap,28,1000,41668,2388,2307
HashMap,29,1000,5848,2305,2302
HashMap,30,1000,6026,2335,2410
HashMap,31,1000,6178,2321,2255
HashMap,32,1000,52617,2421,2338
HashMap,33,1000,6369,2362,2359
HashMap,34,1000,6519,2561,2706
HashMap,35,1000,6680,56658,2354
HashMap,36,1000,6841,2579,2480
HashMap,37,1000,7000,2496,2419
HashMap,38,1000,7017,2511,2398
HashMap,39,1000,59787,2544,2453
HashMap,40,1000,7217,2487,2371
HashMap,41,1000,7338,2503,2433
HashMap,42,1000,12190,2496,2473
HashMap,43,1000,7636,2542,2484
HashMap,44,1000,7703,2528,2426
HashMap,45,1000,7825,2471,2439
HashMap,46,1000,8078,2524,2442
HashMap,47,1000,48780,2554,2441
HashMap,48,1000,8351,2650,2575
HashMap,49,1000,9207,2576,2462
HashMap,50,1000,61201,2603,2477
HashMap,51,1000,9196,2500,2489
HashMap,52,1000,29226,2523,2393
HashMap,53,1000,9568,2545,2526
HashMap,54,1000,14621,3599,2399
HashMap,55,1000,81321,2678,2457
HashMap,56,1000,10094,2917,2446
HashMap,57,1000,10881,2484,2401
HashMap,58,1000,61117,2561,2415
HashMap,59,1000,10665,2535,82726
HashMap,60,1000,34059,2502,2495
HashMap,61,1000,10723,2585,2427
HashMap,62,1000,53081,3058,2453
HashMap,63,1000,10993,2507,2389
HashMap,64,1000,11284,2585,2380
HashMap,65,1000,12387,2595,2823
HashMap,66,1000,13010,2563,2535
HashMap,67,1000,88748,2607,2502
HashMap,68,1000,11834,2566,2442
HashMap,69,1000,62037,2474,2421
HashMap,70,1000,12014,2590,2609
HashMap,71,1000,12190,2575,2605
HashMap,72,1000,17077,2662,84402
HashMap,73,1000,12670,2577,2636
HashMap,74,1000,16467,2730,2740
HashMap,75,1000,102538,2895,2588
HashMap,76,1000,15892,2514,69659
HashMap,77,1000,12907,2588,2455
HashMap,78,1000,77433,45446,59451
HashMap,79,1000,54899,2125,2286
HashMap,80,1000,13058,2094,2049
HashMap,81,1000,13161,2093,2029
HashMap,82,1000,88595,2091,2003
HashMap,83,1000,13576,2075,1985
HashMap,84,1000,13641,2067,1984
HashMap,85,1000,64188,2203,1965
HashMap,86,1000,70155,2100,1991
HashMap,87,1000,14057,2053,2086
HashMap,88,1000,14054,2221,1994
HashMap,89,1000,14221,2086,1996
HashMap,90,1000,91353,2132,2037
HashMap,91,1000,13636,2114,1995
HashMap,92,1000,13615,2193,2038
HashMap,93,1000,17706,2129,2002
HashMap,94,1000,18199,2112,1978
HashMap,95,1000,57028,2093,1974
HashMap,96,1000,13995,2109,2025
HashMap,97,1000,77493,2157,2019
HashMap,98,1000,54662,2086,1969
HashMap,99,1000,94758,2172,1990
HashMap,100,1000,19201,2101,1992
HashMap,101,1000,19869,2123,1987
HashMap,102,1000,81804,2146,2012
HashMap,103,1000,15993,2115,1992
HashMap,104,1000,56636,2134,1976
HashMap,105,1000,16610,2098,1989
HashMap,106,1000,63142,2106,1998
HashMap,107,1000,67484,2064,1956
HashMap,108,1000,110820,2113,1983
HashMap,109,1000,17581,2107,2003
HashMap,110,1000,57453,2138,2004
HashMap,111,1000,20560,2219,2060
HashMap,112,1000,17546,2132,2047
HashMap,113,1000,17723,2089,2071
HashMap,114,1000,98524,2166,2034
HashMap,115,1000,17972,2124,2120
HashMap,116,1000,78977,2168,1994
HashMap,117,1000,23099,2162,2019
HashMap,118,1000,85187,2129,2004
HashMap,119,1000,69262,2173,2014
HashMap,120,1000,18225,2094,1983
HashMap,121,1000,45675,138486,2017
HashMap,122,1000,19335,2069,2007
HashMap,123,1000,99999,2144,2000
HashMap,124,1000,123945,2103,1970
HashMap,125,1000,24074,2153,2006
HashMap,126,1000,23311,2097,1999
HashMap,127,1000,18906,65569,2021
HashMap,128,1000,19121,2077,1977
HashMap,129,1000,20697,2162,3345
HashMap,130,1000,104106,2114,1975
HashMap,131,1000,66512,1420,1397
HashMap,132,1000,70199,1284,1289
HashMap,133,1000,19483,1264,1264
HashMap,134,1000,19838,1261,1257
HashMap,135,1000,65642,2157,2020
HashMap,136,1000,121175,2219,2014
HashMap,137,1000,98763,2098,1979
HashMap,138,1000,65143,2112,1983
HashMap,139,1000,82246,2117,1999
HashMap,140,1000,65512,2093,1976
HashMap,141,1000,20774,2249,1964
HashMap,142,1000,45109,2099,1983
HashMap,143,1000,91796,2093,1979
HashMap,144,1000,22029,2099,41999
HashMap,145,1000,80609,2339,2016
HashMap,146,1000,101565,1596,1511
HashMap,147,1000,104081,1289,1287
HashMap,148,1000,77239,1279,1270
HashMap,149,1000,86283,1288,1271
HashMap,150,1000,97906,1278,1276
HashMap,151,1000,101568,1274,1271
HashMap,152,1000,72903,1283,1274
HashMap,153,1000,21367,1271,1264
HashMap,154,1000,102218,1285,1281
HashMap,155,1000,22967,1273,1260
HashMap,156,1000,102064,1288,1272
HashMap,157,1000,21771,1276,1263
HashMap,158,1000,138771,1279,1288
HashMap,159,1000,21702,1272,1261
HashMap,160,1000,27211,1276,1272
HashMap,161,1000,49001,1276,1308
HashMap,162,1000,115094,1268,1277
HashMap,163,1000,22528,1270,1263
HashMap,164,1000,26979,1273,1272
HashMap,165,1000,77341,1271,1499
HashMap,166,1000,23150,1401,1272
HashMap,167,1000,23409,1262,1265
HashMap,168,1000,148190,1287,1284
HashMap,169,1000,111983,1535,1286
HashMap,170,1000,143851,1265,1765
HashMap,171,1000,48257,1268,1262
HashMap,172,1000,32651,1281,1279
HashMap,173,1000,75934,1278,1270
HashMap,174,1000,111077,1279,1271
HashMap,175,1000,59808,1276,1279
HashMap,176,1000,89941,1270,1265
HashMap,177,1000,88794,1281,1276
HashMap,178,1000,81554,1281,1269
HashMap,179,1000,117082,1283,1277
HashMap,180,1000,76149,1292,1276
HashMap,181,1000,109730,1266,1264
HashMap,182,1000,24726,1261,1268
HashMap,183,1000,70322,1279,1277
HashMap,184,1000,118594,1285,1468
HashMap,185,1000,76885,1283,1274
HashMap,186,1000,65585,1283,1294
HashMap,187,1000,78300,1269,1265
HashMap,188,1000,108906,1306,1277
HashMap,189,1000,156654,1282,1277
HashMap,190,1000,81721,1268,1270
HashMap,191,1000,25249,1259,1260
HashMap,192,1000,67305,1273,1303
HashMap,193,1000,94896,1275,1270
HashMap,194,1000,25464,1278,1261
HashMap,195,1000,102839,1269,1271
HashMap,196,1000,30041,1278,1262
HashMap,197,1000,67672,1268,1587
HashMap,198,1000,26395,1273,81419
HashMap,199,1000,57213,1263,1262
HashMap,200,1000,26120,1273,94372
HashMap,201,1000,66572,1260,1259
HashMap,202,1000,107022,1274,1303
HashMap,203,1000,66875,1262,1265
HashMap,204,1000,66358,1273,1265
HashMap,205,1000,73898,1276,1273
HashMap,206,1000,101987,1268,1268
HashMap,207,1000,32028,1276,81513
HashMap,208,1000,95228,1281,1283
HashMap,209,1000,76964,1280,1280
HashMap,210,1000,86015,1284,1281
HashMap,211,1000,28263,41467,1269
HashMap,212,1000,107995,1271,1265
HashMap,213,1000,117564,1269,1264
HashMap,214,1000,77429,1281,1276
HashMap,215,1000,80254,1271,1273
HashMap,216,1000,75204,1292,1280
HashMap,217,1000,111192,1261,1264
HashMap,218,1000,64151,1278,1274
HashMap,219,1000,101921,1398,1275
HashMap,220,1000,95670,1274,1284
HashMap,221,1000,31400,1258,65484
HashMap,222,1000,65287,1274,1274
HashMap,223,1000,185041,1281,1285
HashMap,224,1000,112208,1258,1257
HashMap,225,1000,111377,1281,1276
HashMap,226,1000,107510,1288,1286
HashMap,227,1000,48929,1263,1257
HashMap,228,1000,121403,1287,1284
HashMap,229,1000,38035,1282,1272
HashMap,230,1000,60971,1267,1275
HashMap,231,1000,133257,1338,1289
HashMap,232,1000,74349,1290,1274
HashMap,233,1000,75841,1263,1264
HashMap,234,1000,44011,1273,1269
HashMap,235,1000,73217,1265,1264
HashMap,236,1000,68719,1283,1281
HashMap,237,1000,81359,1284,1287
HashMap,238,1000,79564,1270,1276
HashMap,239,1000,77877,1263,1274
HashMap,240,1000,34132,1262,1260
HashMap,241,1000,129459,1290,1283
HashMap,242,1000,76590,1274,1274
HashMap,243,1000,40772,1269,1269
HashMap,244,1000,103410,1261,1275
HashMap,245,1000,39837,1271,1267
HashMap,246,1000,41231,1286,1285
HashMap,247,1000,129994,1276,1274
HashMap,248,1000,80204,1275,1267
HashMap,249,1000,58603,1360,1342
HashMap,250,1000,113725,1273,1272
HashMap,251,1000,119591,1269,1268
HashMap,252,1000,101955,1283,1282
HashMap,253,1000,95107,1282,1276
HashMap,254,1000,104115,1281,1276
HashMap,255,1000,57827,1270,1268
HashMap,256,1000,64750,1276,1278
HashMap,257,1000,98285,1270,1272
HashMap,258,1000,106927,1282,18452
HashMap,259,1000,131704,1271,1270
HashMap,260,1000,116090,1265,1265
HashMap,261,1000,80609,1284,1523
HashMap,262,1000,68810,1302,1262
HashMap,263,1000,41646,1282,1277
HashMap,264,1000,51429,1289,1288
HashMap,265,1000,113932,1271,1267
HashMap,266,1000,158037,1283,1286
HashMap,267,1000,123112,1289,1283
HashMap,268,1000,87252,1279,1272
HashMap,269,1000,44548,1269,1753
HashMap,270,1000,238875,1265,1267
HashMap,271,1000,88252,1282,1282
HashMap,272,1000,122366,1267,1273
HashMap,273,1000,60437,1265,1269
HashMap,274,1000,43350,1268,1263
HashMap,275,1000,119404,1287,1273
HashMap,276,1000,74630,1272,1277
HashMap,277,1000,79413,1264,1264
HashMap,278,1000,81886,1274,1275
HashMap,279,1000,86792,1275,1276
HashMap,280,1000,43219,1267,1387
HashMap,281,1000,43139,1267,1270
HashMap,282,1000,109561,1292,1277
HashMap,283,1000,200814,1268,1286
HashMap,284,1000,82913,1281,1274
HashMap,285,1000,83761,1269,1265
HashMap,286,1000,137923,1268,1268
HashMap,287,1000,146358,1275,1264
HashMap,288,1000,87034,1279,1285
HashMap,289,1000,93520,1275,1283
HashMap,290,1000,85487,1271,1264
HashMap,291,1000,39535,1330,1293
HashMap,292,1000,93339,1277,1282
HashMap,293,1000,60931,1282,1278
HashMap,294,1000,103867,1281,1278
HashMap,295,1000,85782,1277,1267
HashMap,296,1000,112840,1290,1289
HashMap,297,1000,124964,1267,1272
HashMap,298,1000,76836,1277,1282
HashMap,299,1000,93119,1274,1420
HashMap,300,1000,45930,1279,1276
HashMap,301,1000,115810,1276,1278
HashMap,302,1000,97325,1278,1275
HashMap,303,1000,125513,1273,1276
HashMap,304,1000,132522,1274,1277
HashMap,305,1000,135273,1277,1280
HashMap,306,1000,89575,40325,1274
HashMap,307,1000,125179,1279,1266
HashMap,308,1000,125132,1273,1275
HashMap,309,1000,89288,1274,1284
HashMap,310,1000,40860,1268,1267
HashMap,311,1000,98875,1266,1267
HashMap,312,1000,144597,1271,1277
HashMap,313,1000,127065,1285,1276
HashMap,314,1000,86273,1283,1277
HashMap,315,1000,89273,1276,1273
HashMap,316,1000,71507,1277,1274
HashMap,317,1000,91921,1287,1295
HashMap,318,1000,60886,1271,1277
HashMap,319,1000,115909,1280,1279
HashMap,320,1000,87336,1281,1280
HashMap,321,1000,66320,1278,1273
HashMap,322,1000,93853,1268,1271
HashMap,323,1000,74162,1277,1272
HashMap,324,1000,110928,1282,1280
HashMap,325,1000,92232,1280,1267
HashMap,326,1000,92832,1283,1286
HashMap,327,1000,132308,1281,1278
HashMap,328,1000,114205,1277,1289
HashMap,329,1000,43692,1278,1287
HashMap,330,1000,103257,1266,1263
HashMap,331,1000,158240,1276,1280
HashMap,332,1000,88212,40774,1282
HashMap,333,1000,120422,1282,1272
HashMap,334,1000,129174,1278,1279
HashMap,335,1000,127167,1285,1280
HashMap,336,1000,109852,1288,1278
HashMap,337,1000,132829,1293,1288
HashMap,338,1000,185929,1275,1269
HashMap,339,1000,157585,1285,1280
HashMap,340,1000,49812,1277,1275
HashMap,341,1000,89946,1325,1274
HashMap,342,1000,145087,1561,1271
HashMap,343,1000,129996,1269,1267
HashMap,344,1000,110571,1283,1282
HashMap,345,1000,130347,1275,1278
HashMap,346,1000,50204,1275,1283
HashMap,347,1000,124736,1287,1271
HashMap,348,1000,50057,1278,1280
HashMap,349,1000,117069,1264,1265
HashMap,350,1000,149311,1276,1273
HashMap,351,1000,150027,1269,1268
HashMap,352,1000,190719,1280,1276
HashMap,353,1000,112522,1275,1276
HashMap,354,1000,91686,32827,1277
HashMap,355,1000,114728,1520,1278
HashMap,356,1000,172642,1277,1280
HashMap,357,1000,112155,1318,1274
HashMap,358,1000,91628,1274,1271
HashMap,359,1000,93882,1269,1271
HashMap,360,1000,130533,1280,1312
HashMap,361,1000,90972,1279,26408
HashMap,362,1000,51230,1275,1274
HashMap,363,1000,97577,1280,1274
HashMap,364,1000,145131,1278,1277
HashMap,365,1000,135362,1279,1278
HashMap,366,1000,150177,1280,1276
HashMap,367,1000,107187,1277,1278
HashMap,368,1000,162064,1276,1282
HashMap,369,1000,116540,1271,1270
HashMap,370,1000,162820,1269,1268
HashMap,371,1000,138013,1283,1273
HashMap,372,1000,135284,1279,1277
HashMap,373,1000,135600,1288,56896
HashMap,374,1000,151244,1268,1268
HashMap,375,1000,116979,1277,1281
HashMap,376,1000,94390,1285,1278
HashMap,377,1000,123838,1301,1280
HashMap,378,1000,148217,1338,1286
HashMap,379,1000,134536,1441,1302
HashMap,380,1000,148097,1287,1284
