StructureName,ElementRange,SizeRange,InsertAverage,SearchAverage,DeleteAverage
TreeSet,1,1000,1109367,17915,85150
TreeSet,2,1000,137467,7786,3818
TreeSet,3,1000,43124,88010,5759
TreeSet,4,1000,161391,8295,4993
TreeSet,5,1000,160180,8824,5500
TreeSet,6,1000,191669,9308,4747
TreeSet,7,1000,121508,10055,5153
TreeSet,8,1000,225496,10843,5541
TreeSet,9,1000,132208,12343,77910
TreeSet,10,1000,210702,51271,5411
TreeSet,11,1000,296474,12244,5633
TreeSet,12,1000,163850,48843,5244
TreeSet,13,1000,138007,12920,5108
TreeSet,14,1000,202602,14120,5186
TreeSet,15,1000,140015,14565,5071
TreeSet,16,1000,83922,165165,4958
TreeSet,17,1000,223080,13318,5002
TreeSet,18,1000,134297,92954,5225
TreeSet,19,1000,184059,6897,5820
TreeSet,20,1000,221198,4782,4982
TreeSet,21,1000,349778,4711,5052
TreeSet,22,1000,152974,5071,4833
TreeSet,23,1000,255733,4834,5108
TreeSet,24,1000,164648,4580,4549
TreeSet,25,1000,171204,4596,4810
TreeSet,26,1000,220137,4729,5226
TreeSet,27,1000,184091,4767,5073
TreeSet,28,1000,213458,4713,4998
TreeSet,29,1000,175472,18072,4901
TreeSet,30,1000,215291,4250,5069
TreeSet,31,1000,109044,4139,4738
TreeSet,32,1000,174289,36743,73750
TreeSet,33,1000,97091,4301,4358
TreeSet,34,1000,235531,4398,4541
TreeSet,35,1000,175580,4437,4389
TreeSet,36,1000,241612,11222,4336
TreeSet,37,1000,227565,4229,4541
TreeSet,38,1000,213244,4208,4084
TreeSet,39,1000,258476,4131,4432
TreeSet,40,1000,267667,4366,4723
TreeSet,41,1000,188334,4328,4428
TreeSet,42,1000,201883,4393,4138
TreeSet,43,1000,214662,5060,4577
TreeSet,44,1000,119323,4425,4369
TreeSet,45,1000,180343,4390,4524
TreeSet,46,1000,242072,4391,4189
TreeSet,47,1000,153586,4532,4343
TreeSet,48,1000,182284,4524,4452
TreeSet,49,1000,116005,45121,4390
TreeSet,50,1000,207019,4636,4460
TreeSet,51,1000,248958,5109,4572
TreeSet,52,1000,267658,4537,4654
TreeSet,53,1000,188453,4426,45041
TreeSet,54,1000,207415,4555,5002
TreeSet,55,1000,234544,4615,4511
TreeSet,56,1000,246895,4711,4487
TreeSet,57,1000,265975,4595,4518
TreeSet,58,1000,188298,4548,4251
TreeSet,59,1000,231706,4503,4522
TreeSet,60,1000,228908,4538,4393
TreeSet,61,1000,287961,4823,4400
TreeSet,62,1000,236378,4850,4671
TreeSet,63,1000,173485,4793,12198
TreeSet,64,1000,232060,4745,4257
TreeSet,65,1000,252170,4792,4298
TreeSet,66,1000,268082,6244,4513
TreeSet,67,1000,191976,4771,4662
TreeSet,68,1000,228973,4778,4316
TreeSet,69,1000,229078,4738,4309
TreeSet,70,1000,189849,45020,4370
TreeSet,71,1000,254884,5033,4422
TreeSet,72,1000,239130,4865,4333
TreeSet,73,1000,205423,5165,4496
TreeSet,74,1000,251657,6141,4721
TreeSet,75,1000,240843,5040,4395
TreeSet,76,1000,193129,4962,4436
TreeSet,77,1000,189120,4908,4273
TreeSet,78,1000,262003,5008,4382
TreeSet,79,1000,193084,4925,4408
TreeSet,80,1000,259667,4923,4179
TreeSet,81,1000,238152,4813,4236
TreeSet,82,1000,134462,5077,4232
TreeSet,83,1000,248505,5622,4301
TreeSet,84,1000,235115,4884,4286
TreeSet,85,1000,268338,5106,4441
TreeSet,86,1000,270165,5020,4271
TreeSet,87,1000,226365,4999,11852
TreeSet,88,1000,195708,4942,4060
TreeSet,89,1000,287674,5287,4621
TreeSet,90,1000,188282,4923,4167
TreeSet,91,1000,194724,41598,4458
TreeSet,92,1000,242325,73713,4283
TreeSet,93,1000,262168,5588,4425
TreeSet,94,1000,198153,5173,4180
TreeSet,95,1000,235027,5054,32574
TreeSet,96,1000,243584,5137,4337
TreeSet,97,1000,222566,5204,4466
TreeSet,98,1000,236359,5095,44816
TreeSet,99,1000,238378,5282,4234
TreeSet,100,1000,280861,5199,4373
TreeSet,101,1000,246773,5193,45089
TreeSet,102,1000,276923,5452,4428
TreeSet,103,1000,310795,5587,4868
TreeSet,104,1000,258424,5390,4268
TreeSet,105,1000,280259,5141,4241
TreeSet,106,1000,277551,5912,5846
TreeSet,107,1000,230193,5387,4972
TreeSet,108,1000,205149,5340,5208
TreeSet,109,1000,233411,5867,85527
TreeSet,110,1000,243683,5396,5083
TreeSet,111,1000,289789,5809,5564
TreeSet,112,1000,218960,5585,83873
TreeSet,113,1000,238380,5662,5189
TreeSet,114,1000,240448,5794,5893
TreeSet,115,1000,324963,5675,5159
TreeSet,116,1000,259428,5574,5517
TreeSet,117,1000,269531,5704,5401
TreeSet,118,1000,203148,5739,109010
TreeSet,119,1000,287925,5703,5283
TreeSet,120,1000,256878,5609,5507
TreeSet,121,1000,296869,95858,5348
TreeSet,122,1000,423143,3471,5509
TreeSet,123,1000,299779,3311,55625
TreeSet,124,1000,219892,3294,4199
TreeSet,125,1000,274354,3138,4506
TreeSet,126,1000,271095,3404,4024
TreeSet,127,1000,395374,3427,136732
TreeSet,128,1000,317177,3531,4423
TreeSet,129,1000,241726,3961,45673
TreeSet,130,1000,238854,3782,44727
TreeSet,131,1000,254216,3756,2628
TreeSet,132,1000,267923,3717,2270
TreeSet,133,1000,252183,3488,2268
TreeSet,134,1000,203857,3496,1956
TreeSet,135,1000,242396,4493,3876
TreeSet,136,1000,415980,19136,4346
TreeSet,137,1000,251703,3690,4420
TreeSet,138,1000,287269,3467,4270
TreeSet,139,1000,274655,3619,4563
TreeSet,140,1000,247227,3551,4387
